customer_id,company_name,segment,region,industry,acquisition_date,contract_type,csm_name,mrr
C0000,Company_0,SMB,EMEA,Finance,2023-01-01,annual,,200
C0001,Company_1,SMB,EMEA,Healthcare,2023-01-02,monthly,,280
C0002,Company_2,SMB,EMEA,Retail,2023-01-03,monthly,,360
C0003,Company_3,SMB,EMEA,Logistics,2023-01-04,annual,,440
C0004,Company_4,SMB,North America,EdTech,2023-01-05,monthly,,520
C0005,Company_5,Mid-Market,North America,SaaS,2023-01-06,monthly,CSM_5,600
C0006,Company_6,Mid-Market,North America,Energy,2023-01-07,annual,CSM_6,680
C0007,Company_7,Mid-Market,APAC,Manufacturing,2023-01-08,monthly,CSM_7,760
C0008,Company_8,enterprise,APAC,Finance,2023-01-09,monthly,CSM_0,840
C0009,Company_9,enterprise,LATAM,Healthcare,2023-01-10,annual,CSM_1,920
C0010,Company_10,SMB,EMEA,Retail,2023-01-11,monthly,,1000
C0011,Company_11,SMB,EMEA,Logistics,2023-01-12,monthly,,1080
C0012,Company_12,SMB,EMEA,EdTech,2023-01-13,annual,,1160
C0013,Company_13,SMB,EMEA,SaaS,2023-01-14,monthly,,1240
C0014,Company_14,SMB,North America,Energy,2023-01-15,monthly,,1320
C0015,Company_15,Mid-Market,North America,Manufacturing,2023-01-16,annual,CSM_7,1400
C0016,Company_16,Mid-Market,North America,Finance,2023-01-17,monthly,CSM_0,1480
C0017,Company_17,Mid-Market,APAC,Healthcare,2023-01-18,monthly,CSM_1,1560
C0018,Company_18,enterprise,APAC,Retail,2023-01-19,annual,CSM_2,1640
C0019,Company_19,enterprise,LATAM,Logistics,2023-01-20,monthly,CSM_3,1720
C0020,Company_20,SMB,EMEA,EdTech,2023-01-21,monthly,,1800
C0021,Company_21,SMB,EMEA,SaaS,2023-01-22,annual,,1880
C0022,Company_22,SMB,EMEA,Energy,2023-01-23,monthly,,1960
C0023,Company_23,SMB,EMEA,Manufacturing,2023-01-24,monthly,,2040
C0024,Company_24,SMB,North America,Finance,2023-01-25,annual,,2120
